line_name,year,month,est_wkday_ridership,est_sat_ridership,est_sun_ridership
Line 166,2024,9,7192,3442,2840
Line 166,2024,10,7057,3476,2626
Line 166,2024,11,6596,3397,2690
Line 166,2024,12,5952,3443,2647
Line 166,2025,1,5931,3261,2603
Line 166,2025,2,6549,3615,2739
Line 166,2025,3,6533,3654,3020
Line 166,2025,4,6819,3476,2822
Line 166,2025,5,6606,3484,2930
Line 167,2024,7,1262,1063,878
Line 167,2024,8,1475,1027,963
Line 167,2024,9,1767,1085,952
Line 167,2024,10,1727,1089,993
Line 167,2024,11,1588,1078,881
Line 167,2024,12,1290,974,877
Line 167,2025,1,1275,988,786
Line 167,2025,2,1456,997,923
Line 167,2025,3,1447,1076,917
Line 167,2025,4,1498,1042,936
Line 167,2025,5,1508,1057,883
Line 169,2024,7,1720,1117,860
Line 169,2024,8,1971,1187,962
Line 169,2024,9,2157,1202,935
Line 169,2024,10,2252,1247,969
Line 169,2024,11,2052,1188,912
Line 169,2024,12,1934,1171,986
Line 169,2025,1,1948,1186,828
Line 169,2025,2,2179,1445,1072
Line 169,2025,3,2229,1276,993
Line 169,2025,4,2198,1327,1030
Line 169,2025,5,2347,1305,1005
Line 177,2024,7,237,null,null
Line 177,2024,8,241,null,null
Line 177,2024,9,215,null,null
Line 177,2024,10,210,null,null
Line 177,2024,11,204,null,null
Line 177,2024,12,96,null,null
Line 179,2024,7,833,837,656
Line 179,2024,8,866,772,644
Line 179,2024,9,873,755,700
Line 179,2024,10,862,885,770
Line 179,2024,11,912,849,569
Line 179,2024,12,967,808,638
Line 179,2025,1,916,877,739
Line 179,2025,2,879,881,703
Line 179,2025,3,893,818,772
Line 179,2025,4,891,918,692
Line 179,2025,5,898,895,722
Line 180,2024,7,7404,6270,5267
Line 180,2024,8,7587,6290,5611
Line 180,2024,9,7895,6161,5598
Line 180,2024,10,8061,6700,5730
Line 180,2024,11,7794,6334,5193
Line 180,2024,12,7500,6074,5236
Line 180,2025,1,6817,6018,4530
Line 180,2025,2,7106,6318,5670
Line 180,2025,3,7321,6412,5373
Line 180,2025,4,7397,6233,5731
Line 180,2025,5,7673,6438,5628
Line 182,2024,7,2238,1743,1337
Line 182,2024,8,2836,1870,1384
Line 182,2024,9,3121,1877,1383
Line 182,2024,10,3217,1922,1486
Line 182,2024,11,2882,1862,1374
Line 182,2024,12,2688,1788,1261
Line 182,2025,1,2879,1868,1206
Line 182,2025,2,2879,1987,1569
Line 182,2025,3,2959,2104,1531
Line 182,2025,4,2935,2069,1492
Line 182,2025,5,3200,1973,1504
Line 202,2024,7,233,null,null
Line 202,2024,8,242,null,null
Line 202,2024,9,263,null,null
Line 202,2024,10,250,null,null
Line 202,2024,11,235,null,null
Line 202,2024,12,270,null,null
Line 202,2025,1,260,null,null
Line 202,2025,2,221,null,null
Line 202,2025,3,247,null,null
Line 202,2025,4,234,null,null
Line 202,2025,5,246,null,null
Line 204,2024,7,20122,17501,14299
Line 204,2024,8,21950,17151,14466
Line 204,2024,9,23334,17644,14947
Line 204,2024,10,23543,17866,14794
Line 204,2024,11,22189,17668,14709
Line 204,2024,12,21097,16995,14344
Line 204,2025,1,21686,17235,13759
Line 204,2025,2,22221,18480,15156
Line 204,2025,3,22662,18670,14620
Line 204,2025,4,23038,18175,15634
Line 204,2025,5,24178,18147,15792
Line 205,2024,7,2821,1483,1325
Line 205,2024,8,3055,1584,1514
Line 205,2024,9,3329,1566,1400
Line 205,2024,10,3342,1750,1423
Line 205,2024,11,3133,1345,1140
Line 205,2024,12,2945,1414,1169
Line 205,2025,1,3038,1544,1160
Line 205,2025,2,2945,1524,1321
Line 205,2025,3,2957,1538,1264
Line 205,2025,4,3025,1598,1416
Line 205,2025,5,3166,1623,1386
Line 206,2024,7,8516,5877,5096
Line 206,2024,8,9009,6185,5380
Line 206,2024,9,9195,6009,5230
Line 206,2024,10,9510,6281,5425
Line 206,2024,11,8980,6038,5145
Line 206,2024,12,8825,6013,5014
Line 206,2025,1,8942,6148,4761
Line 206,2025,2,9019,6082,5865
Line 206,2025,3,9104,6314,5482
Line 206,2025,4,9394,6362,6001
Line 206,2025,5,9755,6381,5730
Line 207,2024,7,24271,18374,15917
Line 207,2024,8,25704,20008,16364
Line 207,2024,9,26276,19955,16915
Line 207,2024,10,25940,20233,16536
Line 207,2024,11,25581,19347,16319
Line 207,2024,12,24810,19115,15307
Line 207,2025,1,25013,19403,15514
Line 207,2025,2,24858,19998,16801
Line 207,2025,3,25603,19920,15795
Line 207,2025,4,26004,19874,15798
Line 207,2025,5,26776,19681,17109
Line 209,2024,7,387,null,null
Line 209,2024,8,404,null,null
Line 209,2024,9,424,null,null
Line 209,2024,10,426,null,null
Line 209,2024,11,401,null,null
Line 209,2024,12,400,null,null
Line 209,2025,1,360,null,null
Line 209,2025,2,373,null,null
Line 209,2025,3,389,null,null
Line 209,2025,4,401,null,null
Line 209,2025,5,431,null,null
Line 210,2024,7,12527,10262,8817
Line 210,2024,8,13076,10741,9175
Line 210,2024,9,14222,10677,9375
Line 210,2024,10,14215,10727,9575
Line 210,2024,11,13428,10322,8828
Line 210,2024,12,12580,10097,8360
Line 210,2025,1,12478,10014,7588
Line 210,2025,2,12818,10545,9272
Line 210,2025,3,13007,10629,8474
Line 210,2025,4,13348,10497,8451
Line 210,2025,5,13959,10302,8713
Line 211,2024,7,251,null,null
Line 211,2024,8,334,null,null
Line 211,2024,9,430,null,null
Line 211,2024,10,421,null,null
Line 211,2024,11,379,null,null
Line 211,2024,12,368,null,null
Line 211,2025,1,348,null,null
Line 211,2025,2,378,null,null
Line 211,2025,3,367,null,null
Line 211,2025,4,363,null,null
Line 211,2025,5,444,null,null
Line 212,2024,7,9162,6643,5255
Line 212,2024,8,9681,6795,5829
Line 212,2024,9,10178,6776,5772
Line 212,2024,10,10252,7055,5986
Line 212,2024,11,9556,6587,5312
Line 212,2024,12,9022,6437,5066
Line 212,2025,1,9004,6250,5023
Line 212,2025,2,9193,6799,5756
Line 212,2025,3,9294,6741,5608
Line 212,2025,4,9571,6769,5697
Line 212,2025,5,9832,6559,5770
Line 217,2024,7,9728,7733,6666
Line 217,2024,8,10563,8148,6666
Line 217,2024,9,10942,8374,7177
Line 217,2024,10,11254,8577,7407
Line 217,2024,11,10804,8404,6979
Line 217,2024,12,10639,7951,6232
Line 217,2025,1,10670,7651,6194
Line 217,2025,2,10404,8659,7502
Line 217,2025,3,10599,8345,7341
Line 217,2025,4,10932,8513,7431
Line 217,2025,5,11466,8409,7934
Line 218,2024,7,549,491,453
Line 218,2024,8,621,468,455
Line 218,2024,9,629,503,450
Line 218,2024,10,623,545,504
Line 218,2024,11,633,572,440
Line 218,2024,12,628,520,398
Line 218,2025,1,589,491,395
Line 218,2025,2,650,577,441
Line 218,2025,3,667,517,473
Line 218,2025,4,677,575,464
Line 218,2025,5,662,517,440
Line 222,2024,7,1136,750,657
Line 222,2024,8,1211,774,668
Line 222,2024,9,1212,777,703
Line 222,2024,10,1208,824,685
Line 222,2024,11,1101,735,638
Line 222,2024,12,1030,657,524
Line 222,2025,1,1014,717,478
Line 222,2025,2,1007,801,571
Line 222,2025,3,1080,794,605
Line 222,2025,4,1123,804,632
Line 222,2025,5,1125,778,679
Line 224,2024,7,6485,4598,3829
Line 224,2024,8,6782,4607,3905
Line 224,2024,9,7297,4910,3910
Line 224,2024,10,7106,4970,3896
Line 224,2024,11,6716,4564,3675
Line 224,2024,12,6397,4558,3841
Line 224,2025,1,6317,4463,3391
Line 224,2025,2,6429,4543,4027
Line 224,2025,3,6538,4804,4024
Line 224,2025,4,6818,4883,4244
Line 224,2025,5,6994,4801,4088
Line 230,2024,7,2839,1770,1443
Line 230,2024,8,3267,1861,1519
